"Freq [GHz]","dB(S(1,1)) []"
4.18,-1.58677884587637
4.19,-1.61988867215665
4.2,-1.65358919107064
4.21,-1.68789156380559
4.22,-1.72280759618568
4.23,-1.75834975612036
4.24,-1.7945311931784
4.25,-1.83136576026155
4.26,-1.86886803734359
4.27,-1.90705335723162
4.28,-1.94593783329757
4.29,-1.98553838911671
4.3,-2.0258727899379
4.31,-2.06695967589469
4.32,-2.10881859684912
4.33,-2.15147004873803
4.34,-2.19493551126617
4.35,-2.23923748676005
4.36,-2.28439953995978
4.37,-2.33044633848368
4.38,-2.37740369365006
4.39,-2.4252986012814
4.4,-2.47415928204762
4.41,-2.52401522082507
4.42,-2.57489720445487
4.43,-2.62683735717688
4.44,-2.67986917289224
4.45,-2.73402754326414
4.46,-2.7893487805038
4.47,-2.84587063350127
4.48,-2.90363229574691
4.49,-2.96267440324687
4.5,-3.02303902035938
4.51,-3.0847696111668
4.52,-3.14791099364585
4.53,-3.2125092735028
4.54,-3.27861175409743
4.55,-3.34626681838574
4.56,-3.41552377826524
4.57,-3.48643268610358
4.58,-3.55904410257358
4.59,-3.63340881420361
4.6,-3.70957749328653
4.61,-3.78760029197966
4.62,-3.867526361583
4.63,-3.94940328712086
4.64,-4.03327642649768
4.65,-4.11918814268589
4.66,-4.20717691667988
4.67,-4.29727632837586
4.68,-4.38951389219419
4.69,-4.48390973425061
4.7,-4.58047509833474
4.71,-4.67921066902961
4.72,-4.78010470219731
4.73,-4.88313095599614
4.74,-4.98824641985494
4.75,-5.09538884471649
4.76,-5.20447408571142
4.77,-5.31539327859094
4.78,-5.42800988407382
4.79,-5.54215665005174
4.8,-5.65763256054712
4.81,-5.77419986245585
4.82,-5.89158128619136
4.83,-6.00945760374564
4.84,-6.12746569624682
4.85,-6.24519733100765
4.86,-6.36219887273858
4.87,-6.47797217160515
4.88,-6.59197687789601
4.89,-6.70363442436599
4.9,-6.81233388773762
4.91,-6.91743988573857
4.92,-7.01830258213157
4.93,-7.11426975866151
4.94,-7.20470077255467
4.95,-7.28898205864749
4.96,-7.36654366895853
4.97,-7.4368761867481
4.98,-7.49954722712166
4.99,-7.55421666267969
5,-7.60064970804086
5.01,-7.63872707171521
5.02,-7.66845153812753
5.03,-7.68995056535247
5.04,-7.70347475326664
5.05,-7.70939232257783
5.06,-7.70818001494805
5.07,-7.7004110482871
5.08,-7.68674091697016
5.09,-7.66789190271637
5.1,-7.6446371582309
5.11,-7.61778515269179
5.12,-7.58816514306319
5.13,-7.55661417864555
5.14,-7.52396597854723
5.15,-7.49104186016515
5.16,-7.4586437539717
5.17,-7.42754922352862
5.18,-7.39850832266155
5.19,-7.37224206343926
5.2,-7.34944223582412
5.21,-7.33077230805206
5.22,-7.316869140987
5.23,-7.30834526514447
5.24,-7.30579149171209
5.25,-7.30977965547687
5.26,-7.32086531574778
5.27,-7.33959026959177
5.28,-7.36648475911461
5.29,-7.40206928076917
5.3,-7.44685592978009
5.31,-7.50134923696388
5.32,-7.56604647880679
5.33,-7.64143746491464
5.34,-7.72800383001643
